Sample in Buffer,Sample in Window,TRIGGER,inst_dsp_top/fraser_user_code/U0/mux_en[0:0],inst_dsp_top/fraser_user_code/U0/s_axis_tdata[0:0],inst_dsp_top/fraser_user_code/m_axis_tdata[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
521,521,0,1,1,10942
522,522,0,1,1,57692
523,523,0,1,1,54027
524,524,0,1,1,54027
525,525,0,1,1,54027
526,526,0,1,1,54027
527,527,0,1,1,54027
528,528,0,1,1,54027
529,529,0,1,1,54027
530,530,0,1,1,54027
531,531,0,1,1,54027
532,532,0,1,1,6715
533,533,0,1,1,12014
534,534,0,1,1,59711
535,535,0,1,1,53082
536,536,0,1,1,5213
537,537,0,1,1,11490
538,538,0,1,1,11490
539,539,0,1,1,11490
540,540,0,1,1,11490
541,541,0,1,1,11490
542,542,0,1,1,11490
543,543,0,1,1,11490
544,544,0,1,1,11490
545,545,0,1,1,11490
546,546,0,1,1,7442
547,547,0,1,1,54584
548,548,0,1,1,57556
549,549,0,1,1,10355
550,550,0,1,1,8996
551,551,0,1,1,56005
552,552,0,1,1,56231
553,553,0,1,1,56231
554,554,0,1,1,56231
555,555,0,1,1,56231
556,556,0,1,1,56231
557,557,0,1,1,56231
558,558,0,1,1,56231
559,559,0,1,1,56231
560,560,0,1,1,56231
561,561,0,1,1,8996
562,562,0,1,1,10143
563,563,0,1,1,57295
564,564,0,1,1,54966
565,565,0,1,1,7311
566,566,0,1,1,11118
567,567,0,1,1,11118
568,568,0,1,1,11118
569,569,0,1,1,11118
570,570,0,1,1,11118
571,571,0,1,1,11118
572,572,0,1,1,11118
573,573,0,1,1,11118
574,574,0,1,1,58933
575,575,0,1,1,53930
576,576,0,1,1,5727
577,577,0,1,1,12031
578,578,0,1,1,60800
579,579,0,1,1,52817
580,580,0,1,1,52817
581,581,0,1,1,52817
582,582,0,1,1,52817
583,583,0,1,1,52817
584,584,0,1,1,52817
585,585,0,1,1,52817
586,586,0,1,1,52817
587,587,0,1,1,52817
588,588,0,1,1,56940
589,589,0,1,1,55551
590,590,0,1,1,7947
591,591,0,1,1,10760
592,592,0,1,1,58495
593,593,0,1,1,54457
594,594,0,1,1,6366
595,595,0,1,1,6366
596,596,0,1,1,6366
597,597,0,1,1,6366
598,598,0,1,1,6366
599,599,0,1,1,6366
600,600,0,1,1,6366
601,601,0,1,1,6366
602,602,0,1,1,6366
603,603,0,1,1,11755
604,604,0,1,1,60203
605,605,0,1,1,53603
606,606,0,1,1,4649
607,607,0,1,1,12265
608,608,0,1,1,61787
609,609,0,1,1,61787
610,610,0,1,1,61787
611,611,0,1,1,61787
612,612,0,1,1,61787
613,613,0,1,1,61787
614,614,0,1,1,61787
615,615,0,1,1,61787
616,616,0,1,1,61787
617,617,0,1,1,53007
618,618,0,1,1,2568
619,619,0,1,1,12727
620,620,0,1,1,63641
621,621,0,1,1,52682
622,622,0,1,1,634
623,623,0,1,1,12913
624,624,0,1,1,12913
625,625,0,1,1,12913
